start_date,end_date,national_total,districts
2009-10-03,2009-10-09,348,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 80}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 41}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 10}, {'district': <District.Kandy: 'Kandy'>, 'cases': 57}, {'district': <District.Matale: 'Matale'>, 'cases': 22}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 4}, {'district': <District.Galle: 'Galle'>, 'cases': 13}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 8}, {'district': <District.Matara: 'Matara'>, 'cases': 11}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 0}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 26}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 5}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 2}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 25}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 6}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 2}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 2}, {'district': <District.Badulla: 'Badulla'>, 'cases': 8}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 1}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 14}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 9}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 2}]"
2011-06-25,2011-07-01,692,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 306}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 91}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 46}, {'district': <District.Kandy: 'Kandy'>, 'cases': 28}, {'district': <District.Matale: 'Matale'>, 'cases': 15}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 5}, {'district': <District.Galle: 'Galle'>, 'cases': 28}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 9}, {'district': <District.Matara: 'Matara'>, 'cases': 10}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 4}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 2}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 3}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 19}, {'district': <District.Ampara: 'Ampara'>, 'cases': 1}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 4}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 24}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 4}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 15}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 6}, {'district': <District.Badulla: 'Badulla'>, 'cases': 11}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 7}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 11}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 42}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2017-11-28,2017-12-03,1887,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 221}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 238}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 99}, {'district': <District.Kandy: 'Kandy'>, 'cases': 196}, {'district': <District.Matale: 'Matale'>, 'cases': 60}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 8}, {'district': <District.Galle: 'Galle'>, 'cases': 51}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 36}, {'district': <District.Matara: 'Matara'>, 'cases': 38}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 183}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 4}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 17}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 6}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 35}, {'district': <District.Ampara: 'Ampara'>, 'cases': 10}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 21}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 138}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 143}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 25}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 16}, {'district': <District.Badulla: 'Badulla'>, 'cases': 28}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 147}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 50}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 63}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 53}]"
2022-09-17,2022-09-23,53,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 21}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 9}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 23}, {'district': <District.Kandy: 'Kandy'>, 'cases': 0}, {'district': <District.Matale: 'Matale'>, 'cases': 0}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 0}, {'district': <District.Galle: 'Galle'>, 'cases': 0}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 0}, {'district': <District.Matara: 'Matara'>, 'cases': 0}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 0}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 0}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 0}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 0}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 0}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 0}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 0}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 0}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 0}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 0}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 0}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2023-03-11,2023-03-17,958,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 161}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 136}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 49}, {'district': <District.Kandy: 'Kandy'>, 'cases': 71}, {'district': <District.Matale: 'Matale'>, 'cases': 21}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 1}, {'district': <District.Galle: 'Galle'>, 'cases': 46}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 22}, {'district': <District.Matara: 'Matara'>, 'cases': 35}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 48}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 3}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 11}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 53}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 41}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 53}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 61}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 15}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 4}, {'district': <District.Badulla: 'Badulla'>, 'cases': 24}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 3}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 37}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 31}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 31}]"
2020-12-19,2020-12-25,385,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 39}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 13}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 13}, {'district': <District.Kandy: 'Kandy'>, 'cases': 17}, {'district': <District.Matale: 'Matale'>, 'cases': 2}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 0}, {'district': <District.Galle: 'Galle'>, 'cases': 0}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 2}, {'district': <District.Matara: 'Matara'>, 'cases': 2}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 11}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 248}, {'district': <District.Ampara: 'Ampara'>, 'cases': 0}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 2}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 11}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 4}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 1}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 0}, {'district': <District.Badulla: 'Badulla'>, 'cases': 5}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 0}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 6}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 7}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 0}]"
2020-08-29,2020-09-04,358,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 71}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 50}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 23}, {'district': <District.Kandy: 'Kandy'>, 'cases': 89}, {'district': <District.Matale: 'Matale'>, 'cases': 8}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 2}, {'district': <District.Galle: 'Galle'>, 'cases': 9}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 1}, {'district': <District.Matara: 'Matara'>, 'cases': 2}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 6}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 0}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 11}, {'district': <District.Ampara: 'Ampara'>, 'cases': 1}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 2}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 14}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 7}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 2}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 1}, {'district': <District.Badulla: 'Badulla'>, 'cases': 0}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 0}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 34}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 17}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 7}]"
2013-06-01,2013-06-07,409,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 94}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 42}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 41}, {'district': <District.Kandy: 'Kandy'>, 'cases': 30}, {'district': <District.Matale: 'Matale'>, 'cases': 3}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 1}, {'district': <District.Galle: 'Galle'>, 'cases': 17}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 4}, {'district': <District.Matara: 'Matara'>, 'cases': 9}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 12}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 1}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 1}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 4}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 19}, {'district': <District.Ampara: 'Ampara'>, 'cases': 3}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 5}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 36}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 9}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 3}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 6}, {'district': <District.Badulla: 'Badulla'>, 'cases': 2}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 2}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 40}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 16}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 8}]"
2024-10-05,2024-10-11,707,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 172}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 120}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 44}, {'district': <District.Kandy: 'Kandy'>, 'cases': 59}, {'district': <District.Matale: 'Matale'>, 'cases': 32}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 4}, {'district': <District.Galle: 'Galle'>, 'cases': 35}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 11}, {'district': <District.Matara: 'Matara'>, 'cases': 46}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 10}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 0}, {'district': <District.Mannar: 'Mannar'>, 'cases': 2}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 1}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 10}, {'district': <District.Ampara: 'Ampara'>, 'cases': 4}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 5}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 16}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 11}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 10}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 10}, {'district': <District.Badulla: 'Badulla'>, 'cases': 9}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 34}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 45}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 13}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 3}]"
2025-05-03,2025-05-09,125,"[{'district': <District.Colombo: 'Colombo'>, 'cases': 310}, {'district': <District.Gampaha: 'Gampaha'>, 'cases': 194}, {'district': <District.Kalutara: 'Kalutara'>, 'cases': 63}, {'district': <District.Kandy: 'Kandy'>, 'cases': 77}, {'district': <District.Matale: 'Matale'>, 'cases': 23}, {'district': <District.Nuwara_Eliya: 'Nuwara Eliya'>, 'cases': 7}, {'district': <District.Galle: 'Galle'>, 'cases': 32}, {'district': <District.Hambantota: 'Hambantota'>, 'cases': 16}, {'district': <District.Matara: 'Matara'>, 'cases': 17}, {'district': <District.Jaffna: 'Jaffna'>, 'cases': 18}, {'district': <District.Kilinochchi: 'Kilinochchi'>, 'cases': 1}, {'district': <District.Mannar: 'Mannar'>, 'cases': 1}, {'district': <District.Vavuniya: 'Vavuniya'>, 'cases': 0}, {'district': <District.Mullaitivu: 'Mullaitivu'>, 'cases': 1}, {'district': <District.Batticaloa: 'Batticaloa'>, 'cases': 59}, {'district': <District.Ampara: 'Ampara'>, 'cases': 4}, {'district': <District.Trincomalee: 'Trincomalee'>, 'cases': 55}, {'district': <District.Kurunegala: 'Kurunegala'>, 'cases': 30}, {'district': <District.Puttalam: 'Puttalam'>, 'cases': 12}, {'district': <District.Anuradhapura: 'Anuradhapura'>, 'cases': 11}, {'district': <District.Polonnaruwa: 'Polonnaruwa'>, 'cases': 10}, {'district': <District.Badulla: 'Badulla'>, 'cases': 7}, {'district': <District.Moneragala: 'Moneragala'>, 'cases': 10}, {'district': <District.Ratnapura: 'Ratnapura'>, 'cases': 242}, {'district': <District.Kegalle: 'Kegalle'>, 'cases': 43}, {'district': <District.Kalmunai: 'Kalmunai'>, 'cases': 13}]"
